"Contour","Description des séries","Déviation standard (BQML)","Max (BQML)","Min (BQML)","Moyenne (BQML)","Volume (ml)"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","1676,93","9837,83","3104,39","6794,73","0,05"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","1210,48","8067,35","3173,01","5987,66","0,05"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","481,58","4971,42","3047,89","4245,75","0,05"
"T4","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","250,52","3346,34","2539,87","2925,68","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","184,36","2892,69","2300,51","2592,09","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","88,33","1992,82","1736,87","1878,18","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","361,52","4243,47","3090,75","3630,45","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","253,91","3587,95","2768,3","3162,68","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","105,94","2340,04","2018,83","2192,24","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","467,65","4945,1","3478,66","4157,79","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","317,82","4115,13","3096,85","3580,24","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","119,83","2580,49","2209,04","2406,95","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","566,7","5498,45","3752,33","4556,91","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","376,05","4520,59","3329,49","3890,41","0,02"
"","FANT_ANTHROPO_QUADRA_MESURE_5_20241105_180536-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","131,66","2752,71","2339,96","2557,75","0,02"
